cluster_id,date,violations,blocking_violations,parking_main_road,double_parking,parking_near_crossing,parking_near_signal,parking_opposite,blocking_ratio,day_of_week,month,day,is_weekend,lag_1,lag_3_avg,lag_7_avg,lag_blocking_avg,peak_hour,peak_day,is_night_dominant,is_weekend_dominant,rush_hour_ratio,centroid_lat,centroid_lon,cluster_blocking_ratio,police_station,target
0,2023-11-16,59,0,0,0,0,0,0,0.0,3,11,16,0,58.0,66.66666666666667,45.714285714285715,1.3333333333333333,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,46.0
0,2023-11-17,46,0,0,0,0,0,0,0.0,4,11,17,0,59.0,71.33333333333333,54.0,1.0,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,29.0
0,2023-11-18,29,5,5,0,0,0,0,0.172,5,11,18,1,46.0,54.333333333333336,60.142857142857146,0.3333333333333333,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,11.0
0,2023-11-19,11,0,0,0,0,0,0,0.0,6,11,19,1,29.0,44.666666666666664,57.857142857142854,1.6666666666666667,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,23.0
0,2023-11-20,23,4,3,0,1,0,0,0.174,0,11,20,0,11.0,28.666666666666668,49.285714285714285,1.6666666666666667,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,30.0
0,2023-11-21,30,2,2,0,0,0,0,0.067,1,11,21,0,23.0,21.0,46.142857142857146,3.0,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,64.0
0,2023-11-22,64,1,1,0,0,0,0,0.016,2,11,22,0,30.0,21.333333333333332,36.57142857142857,2.0,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,15.0
0,2023-11-23,15,0,0,0,0,0,0,0.0,3,11,23,0,64.0,39.0,37.42857142857143,2.3333333333333335,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,21.0
0,2023-11-24,21,0,0,0,0,0,0,0.0,4,11,24,0,15.0,36.333333333333336,31.142857142857142,1.0,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,50.0
0,2023-11-25,50,0,0,0,0,0,0,0.0,5,11,25,1,21.0,33.333333333333336,27.571428571428573,0.3333333333333333,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,40.0
0,2023-11-26,40,0,0,0,0,0,0,0.0,6,11,26,1,50.0,28.666666666666668,30.571428571428573,0.0,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,23.0
0,2023-11-27,23,0,0,0,0,0,0,0.0,0,11,27,0,40.0,37.0,34.714285714285715,0.0,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,45.0
0,2023-11-28,45,2,2,0,0,0,0,0.044,1,11,28,0,23.0,37.666666666666664,34.714285714285715,0.0,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,57.0
0,2023-11-29,57,1,1,0,0,0,0,0.018,2,11,29,0,45.0,36.0,36.857142857142854,0.6666666666666666,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,33.0
0,2023-11-30,33,5,5,0,0,0,0,0.152,3,11,30,0,57.0,41.666666666666664,35.857142857142854,1.0,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,78.0
0,2023-12-01,78,10,3,7,0,0,0,0.128,4,12,1,0,33.0,45.0,38.42857142857143,2.6666666666666665,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,75.0
0,2023-12-02,75,1,1,0,0,0,0,0.013,5,12,2,1,78.0,56.0,46.57142857142857,5.333333333333333,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,52.0
0,2023-12-03,52,0,0,0,0,0,0,0.0,6,12,3,1,75.0,62.0,50.142857142857146,5.333333333333333,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,19.0
0,2023-12-04,19,0,0,0,0,0,0,0.0,0,12,4,0,52.0,68.33333333333333,51.857142857142854,3.6666666666666665,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,12.0
0,2023-12-05,12,0,0,0,0,0,0,0.0,1,12,5,0,19.0,48.666666666666664,51.285714285714285,0.3333333333333333,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,40.0
0,2023-12-06,40,1,1,0,0,0,0,0.025,2,12,6,0,12.0,27.666666666666668,46.57142857142857,0.0,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,75.0
0,2023-12-07,75,0,0,0,0,0,0,0.0,3,12,7,0,40.0,23.666666666666668,44.142857142857146,0.3333333333333333,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,42.0
0,2023-12-08,42,0,0,0,0,0,0,0.0,4,12,8,0,75.0,42.333333333333336,50.142857142857146,0.3333333333333333,5,Sun,0,0,0.273,12.904928862377568,77.6337467224065,0.038,HSR Layout,48.0
